sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
2161,121.288,52.5269,44.8408,16.8034,39.6567,203.703,137.963,134.418,105.005,10.3096,135.325,513.649,552.907,6134.25,5761.18,67.73,-60.3997,-19.7711,246.235,95.9883,19.017,-207.318,-246.235,59.7169,4.90371,42.6409,-68.4471,55.7254,-137.024,train
2162,5.94892,55.0558,110.546,124.087,117.75,176.875,116.734,98.7387,213.881,194.472,76.7447,334.999,508.332,7681.05,10342.1,119.383,-109.194,-40.9901,395.929,395.929,28.8418,-115.589,-14.2003,-23.4116,8.97757,114.218,14.246,11.6512,-11.5474,train
2163,9.82931,58.2692,223.484,31.006,206.23,119.015,141.42,122.122,213.218,42.9534,117.942,593.517,532.348,4614.55,5834.87,87.2235,-81.2174,-26.9102,416.829,416.829,37.2632,-85.1596,-121.392,-27.1634,18.2439,130.968,21.2849,24.9646,-71.4886,test
2164,106.582,141.256,210.754,24.5626,218.122,71.0625,47.3621,130.008,88.7288,196.036,113.38,246.645,351.267,2713.71,3538.24,23.812,-23.3136,-12.3996,65.7944,58.5664,10.8642,-22.158,-37.9361,13.0379,21.5956,65.7944,-41.0712,14.8517,-11.0709,train
2165,203.922,124.32,206.069,54.2248,69.0193,52.0844,55.0715,108.586,30.5927,43.0135,69.5599,223.041,368.383,3676.85,3514.02,39.6852,-39.2504,-19.7263,63.6085,27.7933,8.46638,-22.8438,-21.722,32.7352,20.2083,63.6085,-44.7661,54.4497,-34.6057,train
2166,157.055,50.649,102.437,17.5957,170.68,54.5029,185.838,23.4308,43.6912,97.2421,96.301,406.811,309.024,3163.02,3031.61,49.9206,-46.9329,-17.7306,97.1632,34.0103,51.8364,-97.1632,-81.9888,-0.991796,48.1711,44.7844,-76.8567,46.6961,-38.1827,test
2167,42.3017,47.6277,70.0214,99.2502,145.472,4.51466,92.2161,68.9322,108.368,43.6822,121.772,557.55,201.425,4230.4,3296.23,64.4992,-62.7578,-22.2402,197.345,197.345,13.2443,-148.422,-49.8205,-14.9319,139.722,73.8764,-56.881,64.5291,-20.4221,test
2168,27.0045,130.962,116.058,134.285,156.518,84.3381,158.121,122.944,58.9542,206.439,108.922,520.666,588.246,6217.52,8084.35,66.8506,-65.8074,-24.6493,255.894,255.894,24.9917,-125.732,-14.3999,-1.46988,38.8076,83.9427,-19.5968,46.3863,-22.4215,train
2169,148.139,99.6916,113.033,130.442,176.597,29.8918,115.102,215.519,57.7435,224.58,103.82,591.593,357.249,4870.98,6968.9,44.6603,-43.6383,-15.2159,94.748,79.6618,28.4095,-84.2164,-23.6407,15.8632,94.748,44.2719,-38.6176,75.5248,-17.8347,test
2170,40.7465,75.0419,126.204,174.515,95.1209,7.57531,165.369,153.79,113.947,30.3671,118.102,352.858,548.605,2741.68,2944.84,40.877,-40.1808,-14.7033,149.029,149.029,5.63273,-79.2316,-17.7972,-5.90868,55.7984,55.3372,-23.3926,38.5475,-19.6849,test
2171,108.014,11.5604,68.4588,85.345,210.065,112.634,20.7723,151.687,116.741,45.1553,92.7337,467.626,264.648,7561.54,7390.86,55.3696,-53.4439,-22.6017,101.207,101.207,69.8949,-83.8971,-45.3248,11.3644,7.17384,72.6589,-58.3216,46.8603,-25.3061,train
2172,218.667,44.8713,105.235,26.426,132.236,216.951,190.787,78.4203,154.025,172.488,192.703,342.552,226.546,4087.91,5931.68,14.8314,-13.6282,-5.45557,64.7453,26.1975,41.8448,-64.7453,-58.5744,5.71043,8.65463,25.1133,-41.532,14.2123,-15.3945,train
2173,223.082,155.2,78.8117,56.6996,165.806,75.6142,15.3875,198.802,26.3014,85.8137,109.89,356.634,544.021,5293.4,5889.06,37.0806,-36.4986,-17.4966,77.1811,52.5956,14.6742,-55.9069,-22.7321,41.4816,30.1192,77.1811,-58.096,69.3037,-37.5323,train
2174,215.558,106.174,21.8192,97.1777,59.069,63.9693,1.96286,192.849,12.3883,124.635,103.516,455.624,297.868,6200.08,5856.74,65.1677,-62.1334,-24.1478,210.808,55.8911,32.2186,-210.808,-11.6844,107.604,53.4753,31.2804,-54.9372,129.622,-38.8151,train
2175,126.006,8.74297,127.882,162.972,211.659,214.374,166.972,120.567,20.0642,162.944,125.502,559.738,297.6,3508.36,4866.89,58.9433,-52.0486,-12.0051,330.332,73.6766,330.332,-81.9858,-16.6244,4.61584,13.4722,41.3924,-43.2391,190.964,-25.066,train
2176,11.496,133.497,81.8906,154.703,136.728,195.734,12.4764,32.3595,27.8243,177.492,131.806,349.58,569.988,4344.57,4242.1,147.645,-139.724,-78.837,705.779,705.779,19.2387,-98.5907,-5.99528,26.9903,13.1214,518.903,-201.814,47.1412,-20.4636,train
2177,52.0637,61.9309,199.612,223.608,89.4055,157.284,177.328,30.3873,44.5744,57.3702,167.231,596.268,232.894,6543.5,7310.67,33.4379,-33.0189,-10.1714,130.693,130.693,49.4626,-67.1933,-12.9665,-23.0156,19.476,59.414,-39.1719,91.9897,-75.5115,train
2178,102.374,148.776,13.8639,134.506,114.154,188.367,19.7654,223.783,35.744,109.554,95.9143,447.762,433.88,7093.25,8120.25,87.0942,-81.187,-29.0646,316.903,130.679,17.6077,-316.903,-13.8137,61.693,13.9069,-6.01758,-56.2475,73.5129,-33.816,train
2179,86.6653,68.9567,40.1722,78.4375,65.8602,115.683,190.55,176.605,150.825,100.145,205.487,581.938,404.99,7634.66,9284.45,35.3932,-33.098,-12.5059,230.168,141.483,25.7084,-230.168,-51.5904,36.3754,15.3244,25.4341,-51.5885,37.9432,-25.0343,train
2180,147.655,154.95,192.2,127.672,150.844,169.322,4.12356,219.223,96.517,40.4351,122.001,363.767,266.38,7361.26,9774.85,24.9541,-24.7628,-12.5086,73.426,65.8632,6.084,-20.0404,-21.1084,22.4896,5.56758,73.426,-39.2698,39.4878,-32.9714,train
2181,203.39,170.017,38.2996,89.8281,222.211,118.498,215.449,134.966,20.1542,100.527,73.1114,231.701,580.217,5183.33,7149.63,54.6223,-51.7229,-21.2943,133.536,37.5576,10.0023,-133.536,-6.86261,21.1752,14.3509,18.3619,-55.7636,43.2564,-23.9235,train
2182,139.42,30.2142,59.5521,35.3142,209.896,159.835,89.4611,180.653,113.891,38.9525,164.292,571.076,351.853,6442.22,7259.68,37.8639,-35.2609,-11.7497,135.861,90.0878,58.0795,-135.861,-112.021,13.7845,10.979,37.6239,-53.6182,49.1219,-63.711,train
2183,153.797,26.2801,180.419,35.0358,29.7876,14.5938,205.795,15.6425,43.2536,140.464,194.664,546.733,420.79,5302.11,4910.74,31.1334,-30.2166,-9.14024,177.429,43.0743,98.5297,-77.515,-82.1432,-57.7619,177.429,58.5344,-104.636,94.0971,-26.0702,test
2184,130.556,209.231,55.7763,10.4759,125.496,19.8406,16.6188,70.1089,203.73,41.0174,127.382,404.132,374.571,5589.17,5213.73,59.1015,-54.512,-26.0112,218.019,78.7964,8.39917,-100.084,-218.019,31.5713,88.5742,131.135,-125.993,15.8543,-60.5913,train
